Ticker,Exchange,SP500Listed
.DJI,INDEXDJX,False
.INX,INDEXSP,False
.IXIC,INDEXNASDAQ,False
A,NYSE,False
AA,NYSE,False
AAL,NASDAQ,True
AAP,NYSE,False
AAPL,NASDAQ,True
ABBV,NYSE,True
ABC,NYSE,True
ABT,NYSE,True
ACGL,NASDAQ,False
ACHC,NASDAQ,False
ACM,NYSE,False
ACN,NYSE,True
ACV,NYSE,False
ADBE,NASDAQ,True
ADCT,NYSE,False
ADI,NASDAQ,True
ADM,NYSE,True
ADMA,NASDAQ,False
ADP,NASDAQ,True
ADSK,NASDAQ,True
ADT,NYSE,True
AEE,NYSE,True
AEP,NASDAQ,True
AES,NYSE,True
AFL,NYSE,True
AIG,NYSE,True
AIT,NYSE,False
AIV,NYSE,False
AIZ,NYSE,True
AJG,NYSE,True
AKAM,NASDAQ,True
AL,NYSE,False
ALB,NYSE,True
ALGN,NASDAQ,True
ALK,NYSE,False
ALL,NYSE,False
ALLE,NYSE,True
ALTR,NASDAQ,False
AM,NYSE,False
AMAT,NASDAQ,True
AMBC,NYSE,False
AMCR,NYSE,True
AMD,NASDAQ,True
AME,NYSE,True
AMG,NYSE,False
AMGN,NASDAQ,True
AMH,NYSE,False
AMP,NYSE,True
AMPH,NASDAQ,False
AMPY,NYSE,False
AMR,NYSE,False
AMT,NYSE,True
AMZN,NASDAQ,True
AN,NYSE,False
ANET,NYSE,True
ANF,NYSE,False
ANSS,NASDAQ,True
AON,NYSE,True
AOS,NYSE,False
APA,NASDAQ,True
APD,NYSE,True
APH,NYSE,True
APTV,NYSE,True
AR,NYSE,False
ARC,NYSE,False
ARCH,NYSE,False
ARE,NYSE,True
ARLP,NASDAQ,False
ARNC,NYSE,False
ASC,NYSE,False
ASH,NYSE,False
ASND,NASDAQ,False
ASO,NASDAQ,False
ATGE,NYSE,False
ATI,NYSE,False
ATO,NYSE,True
ATVI,NASDAQ,True
AVB,NYSE,True
AVGO,NASDAQ,True
AVT,NASDAQ,False
AVTE,NASDAQ,False
AVY,NYSE,True
AWK,NYSE,True
AXP,NYSE,True
AYI,NYSE,False
AZO,NYSE,True
AZPN,NASDAQ,False
BA,NYSE,True
BABA,NYSE,False
BAC,NYSE,True
BAX,NYSE,True
BBBY,NASDAQ,False
BBWI,NYSE,True
BBY,NYSE,True
BC,NYSE,False
BCC,NYSE,False
BCO,NYSE,False
BDC,NYSE,False
BDX,NYSE,True
BEAM,NASDAQ,False
BEN,NYSE,True
BF-B,NYSE,True
BFI,NASDAQ,False
BG,NYSE,True
BHF,NASDAQ,False
BIG,NYSE,False
BIIB,NASDAQ,True
BIO,NYSE,True
BJ,NYSE,False
BK,NYSE,True
BKNG,NASDAQ,True
BKR,NASDAQ,True
BLK,NYSE,True
BMY,NYSE,True
BNL,NYSE,False
BP,NYSE,False
BR,NYSE,True
BRK.B,NYSE,False
BRO,NYSE,True
BSX,NYSE,True
BTU,NYSE,False
BUD,NYSE,True
BWA,NYSE,True
BXP,NYSE,True
C,NYSE,True
CAG,NYSE,True
CAH,NYSE,True
CAL,NYSE,False
CALM,NASDAQ,False
CAR,NASDAQ,False
CARR,NYSE,True
CAT,NYSE,True
CB,NYSE,True
CBH,NYSE,True
CBRE,NYSE,True
CBT,NYSE,False
CCB,NASDAQ,False
CCEP,NASDAQ,True
CCI,NYSE,True
CCK,NYSE,False
CCL,NYSE,True
CCU,NYSE,False
CDAY,NYSE,True
CDNS,NASDAQ,True
CDW,NASDAQ,True
CE,NYSE,True
CEG,NASDAQ,True
CEIX,NYSE,False
CEN,NYSE,True
CF,NYSE,True
CFG,NYSE,True
CFR,NYSE,False
CG,NASDAQ,False
CHD,NYSE,True
CHDN,NASDAQ,False
CHK,NASDAQ,False
CHRS,NASDAQ,False
CHRW,NASDAQ,True
CHTR,NASDAQ,True
CI,NYSE,True
CIEN,NYSE,True
CINC,NASDAQ,False
CINF,NASDAQ,True
CL,NYSE,True
CLDT,NYSE,False
CLF,NYSE,True
CLX,NYSE,True
CMA,NYSE,True
CMC,NYSE,False
CMCSA,NASDAQ,True
CME,NASDAQ,True
CMG,NYSE,True
CMI,NYSE,True
CMS,NYSE,True
CNC,NYSE,True
CNP,NYSE,True
CNX,NYSE,False
COF,NYSE,True
COHR,NYSE,False
COO,NYSE,True
COP,NYSE,True
CORT,NASDAQ,False
COST,NASDAQ,True
COTY,NYSE,False
CPB,NYSE,True
CPRI,NYSE,False
CPRT,NASDAQ,True
CPT,NYSE,True
CR,NYSE,False
CRK,NYSE,False
CRL,NYSE,True
CRM,NYSE,True
CSCO,NASDAQ,True
CSGP,NASDAQ,True
CSL,NYSE,False
CSR,NYSE,False
CSX,NASDAQ,True
CTAS,NASDAQ,True
CTIC,NASDAQ,False
CTLT,NYSE,True
CTRA,NYSE,True
CTSH,NASDAQ,True
CTVA,NYSE,True
CVI,NYSE,False
CVS,NYSE,True
